No.,Building Code,Room Code,room_capacity_indicator,room_capacity_value,room_category_1,room_category_2,room_category_3,room_category_4,room_category_5,room_category_6,room_category_7,room_category_8,room_category_NA,room_area_indicator,room_area_value,room_riv_rate_indicator,room_riv_rate_value,room_age_indicator,room_age_value,room_assessment_condition_rating_indicator,room_assessment_condition_rating_value,room_space_quality_indicator,room_space_quality_value
178,102,254,0,0.003921569,0,0,1,0,0,0,0,0,0,0,0.002176225,0,0.262266019,0,0.09202454,0,0.09202454,0,1
179,102,255,0,0.003921569,0,0,1,0,0,0,0,0,0,0,0.002582685,0,0.262266019,0,0.09202454,0,0.09202454,0,1
180,102,256,0,0.001960784,0,0,1,0,0,0,0,0,0,0,0.001736449,0,0.262266019,0,0.09202454,0,0.09202454,0,1
181,102,257,0,0.005882353,0,0,1,0,0,0,0,0,0,0,0.003183712,0,0.262266019,0,0.09202454,0,0.09202454,0,1
182,102,258,0,0.003921569,1,0,0,0,0,0,0,0,0,0,0.001493906,0,0.262266019,0,0.09202454,0,0.09202454,0,1
183,102,259,1,0,0,0,0,1,0,0,0,0,0,0,0.001587192,0,0.262266019,0,0.09202454,0,0.09202454,0,1
184,102,260,1,0,0,0,0,0,0,0,0,1,0,0,0.000483754,0,0.262266019,0,0.09202454,0,0.09202454,0,1
185,102,263,0,0.001960784,1,0,0,0,0,0,0,0,0,0,0.002810568,0,0.262266019,0,0.09202454,0,0.09202454,0,1
186,102,264,0,0.015686275,1,0,0,0,0,0,0,0,0,0,0.002516052,0,0.262266019,0,0.09202454,0,0.09202454,0,1
187,102,265,0,0.015686275,1,0,0,0,0,0,0,0,0,0,0.002513387,0,0.262266019,0,0.09202454,0,0.09202454,0,1
188,102,266,0,0.005882353,1,0,0,0,0,0,0,0,0,0,0.00194301,0,0.262266019,0,0.09202454,0,0.09202454,0,1
189,102,267,0,0.005882353,1,0,0,0,0,0,0,0,0,0,0.001941678,0,0.262266019,0,0.09202454,0,0.09202454,0,1
190,102,271,1,0,0,0,0,1,0,0,0,0,0,0,0.002679968,0,0.262266019,0,0.09202454,0,0.09202454,0,1
191,102,272,1,0,0,0,0,1,0,0,0,0,0,0,0.002677303,0,0.262266019,0,0.09202454,0,0.09202454,0,1
192,102,273,1,0,0,0,0,1,0,0,0,0,0,0,0.002682634,0,0.262266019,0,0.09202454,0,0.09202454,0,1
193,102,274,0,0.005882353,0,0,1,0,0,0,0,0,0,0,0.00592365,0,0.262266019,0,0.09202454,0,0.09202454,0,1
194,102,276,0,0.009803922,0,0,1,0,0,0,0,0,0,0,0.006948461,0,0.262266019,0,0.09202454,0,0.09202454,0,1
